"","Breeding.Biome","year","med","lci","uci"
"265","Forest Generalist",1996,-324803128.747834,-388457891.282339,-263699730.639137
"263","Forest Generalist",1997,-336573959.849361,-398132491.428265,-273530694.309403
"274","Forest Generalist",1998,-347207326.880378,-409964758.036605,-284616890.182276
"281","Forest Generalist",1999,-357133820.135968,-421440494.868728,-295972714.481888
"288","Forest Generalist",2000,-368204215.440329,-429854427.209643,-305674816.523739
"286","Forest Generalist",2001,-377704593.262743,-440960948.56985,-316673707.260384
"287","Forest Generalist",2002,-387133805.987547,-449745127.659149,-328268081.343277
"249","Forest Generalist",2003,-396437085.126906,-459810401.154596,-336331328.174332
"260","Forest Generalist",2004,-405176198.417521,-467508691.212731,-343106632.659357
"271","Forest Generalist",2005,-412393645.705397,-475931419.380085,-351552581.33696
"282","Forest Generalist",2006,-421016948.673799,-483651858.479078,-358603404.279455
"253","Forest Generalist",2007,-427623153.324252,-492424841.807376,-365495858.063538
"251","Forest Generalist",2008,-434511134.000668,-499863500.367629,-371803731.426561
"262","Forest Generalist",2009,-440701760.876886,-505416146.180929,-377488194.559496
"273","Forest Generalist",2010,-447231132.443391,-511725990.887055,-384322453.175701
"284","Forest Generalist",2011,-453134961.264442,-519803294.679574,-390693279.530957
"283","Forest Generalist",2012,-459534929.765429,-525968103.575965,-395786004.615026
"285","Forest Generalist",2013,-464917246.657897,-530673578.812597,-400429865.417436
"254","Forest Generalist",2014,-469329233.449826,-537218959.197239,-403721581.14232
"261","Forest Generalist",2015,-474159625.512731,-542029073.127304,-407370237.773159
"272","Forest Generalist",2016,-478270061.28686,-545336425.528888,-410426834.594481
"279","Forest Generalist",2017,-482065136.078266,-551867314.010054,-414635369.586074
"292","Grassland",1970,0,0,0
"298","Grassland",1971,-20952713.2815478,-54778760.0364656,12899155.1919222
"309","Grassland",1972,-42288243.4265575,-74729265.0075443,-9433124.14318615
"320","Grassland",1973,-64892429.3916068,-96979056.8722888,-32789116.8080386
"290","Grassland",1974,-87835779.8331256,-121385021.34549,-55303482.5472301
"289","Grassland",1975,-113627344.748028,-148334673.241755,-77870998.0945748
"291","Grassland",1976,-140228687.601571,-176147075.910473,-103454043.9118
"297","Grassland",1977,-166340260.602362,-204877030.674092,-128794056.798639
"308","Grassland",1978,-192134412.306105,-230292197.771526,-154969304.323655
"319","Grassland",1979,-217280852.949285,-254872930.726628,-179604622.60041
"317","Grassland",1980,-239821993.629111,-277853653.412478,-202620246.93798
"296","Grassland",1981,-261725259.976122,-299399964.104037,-224445287.702391
"299","Grassland",1982,-281995477.457239,-320661436.370626,-244418970.09536
"310","Grassland",1983,-301402895.919713,-339572307.866245,-263852808.303409
"321","Grassland",1984,-320236473.331617,-358911527.578747,-282374196.809737
"305","Grassland",1985,-337826070.56161,-375851531.438417,-300210527.062795
"303","Grassland",1986,-354545764.485953,-392640319.329129,-317885424.666054
"314","Grassland",1987,-370991280.706962,-410259968.029591,-334100413.419124
"325","Grassland",1988,-387419718.655174,-425720400.231537,-350047313.694628
"332","Grassland",1989,-403053709.249186,-442457905.662354,-365635613.694298
"330","Grassland",1990,-419114830.797172,-457195446.524362,-381227451.094276
"328","Grassland",1991,-434716135.483488,-473050392.260217,-397204876.393807
"293","Grassland",1992,-450478622.912464,-488142090.194311,-412860133.24822
"300","Grassland",1993,-465800414.889492,-504380065.039383,-428512886.221023
"311","Grassland",1994,-480551188.865104,-519719902.768976,-443146468.091279
"322","Grassland",1995,-495538883.020773,-534376744.974349,-458949763.887594
"306","Grassland",1996,-510574736.548395,-549328994.095073,-471967097.712065
"304","Grassland",1997,-524618296.412455,-564311388.447377,-487055471.882486
"315","Grassland",1998,-537680002.508461,-577538959.01527,-499757561.185611
"326","Grassland",1999,-550966128.576573,-590786579.193242,-512270617.186078
"333","Grassland",2000,-563012031.620332,-602538950.969311,-524586704.087352
"331","Grassland",2001,-574441460.469189,-614093791.201617,-535491728.729094
"329","Grassland",2002,-585117925.889117,-626083058.23694,-546081764.48386
"294","Grassland",2003,-594956288.156323,-634580727.480348,-555891539.349919
"301","Grassland",2004,-604947967.66368,-645056035.832412,-565777804.807129
"312","Grassland",2005,-614589674.241948,-655243389.024101,-575155346.42516
"323","Grassland",2006,-624024374.692342,-666150096.670314,-583705820.845484
"307","Grassland",2007,-633240226.905272,-675886294.988451,-592583980.536924
"318","Grassland",2008,-642862831.56921,-685662911.436132,-601938752.251952
"316","Grassland",2009,-652144307.098403,-694937155.044374,-610887655.230585
"327","Grassland",2010,-661467783.777199,-705020829.274501,-620186031.123875
"334","Grassland",2011,-670819288.846402,-714321581.383642,-628344209.854413
"336","Grassland",2012,-679730831.979278,-723993462.110218,-637639576.25108
"335","Grassland",2013,-688123940.506616,-732855968.401849,-645464332.392616
"295","Grassland",2014,-696283772.480448,-740928347.754664,-653686238.893156
"302","Grassland",2015,-703890111.090611,-749315933.763425,-659868086.73458
"313","Grassland",2016,-710856337.806892,-754950038.801703,-667566730.30241
"324","Grassland",2017,-717849730.758936,-764748097.991035,-673891401.13129
"337","Habitat Generalist",1970,0,0,0
"343","Habitat Generalist",1971,-12707784.5837822,-42100064.4593272,16512576.7793096
"350","Habitat Generalist",1972,-25207913.6347959,-54178634.7486784,3191715.11564647
"361","Habitat Generalist",1973,-39855953.4036963,-68431238.6593632,-10649548.0868245
"349","Habitat Generalist",1974,-57029311.5523322,-86963273.4996085,-27681066.1055723
"347","Habitat Generalist",1975,-77762247.1594784,-108403964.297632,-47177241.3311759
"354","Habitat Generalist",1976,-100004508.291396,-131798029.983798,-68243689.1613012
"365","Habitat Generalist",1977,-123563725.654052,-155424110.933102,-90714000.2994801
"376","Habitat Generalist",1978,-146510527.818986,-179113860.824886,-113122995.732243
"374","Habitat Generalist",1979,-167975989.911689,-201620227.811805,-135153234.033527
"381","Habitat Generalist",1980,-188295208.318737,-223012263.877392,-154644301.276144
"341","Habitat Generalist",1981,-206217752.606855,-240052359.081655,-171993198.658445
"340","Habitat Generalist",1982,-222058320.357939,-255738307.458691,-188486958.32101
"351","Habitat Generalist",1983,-236291424.58595,-270486069.336523,-201848171.461671
"362","Habitat Generalist",1984,-249465466.489509,-283720410.120584,-214901105.907615
"346","Habitat Generalist",1985,-261056195.066565,-295759536.177863,-225885630.160507
"344","Habitat Generalist",1986,-272011259.447366,-306339035.839226,-237208885.797872
"355","Habitat Generalist",1987,-281767393.882126,-316603581.611071,-247282562.370705
"366","Habitat Generalist",1988,-291352860.615277,-326567455.69595,-256678238.082378
"373","Habitat Generalist",1989,-300683500.994908,-335217910.632854,-265404829.837498
"371","Habitat Generalist",1990,-308682926.421448,-343612729.721564,-273798812.336577
"369","Habitat Generalist",1991,-316441531.600074,-352478472.575436,-280404929.026099
"338","Habitat Generalist",1992,-323651643.827443,-359018884.226595,-288358326.74735
"345","Habitat Generalist",1993,-330681452.627039,-366970292.114153,-295193483.060472
"352","Habitat Generalist",1994,-337718767.691872,-373807911.257822,-300908367.208882
"363","Habitat Generalist",1995,-344535963.998498,-381649877.782892,-308438362.981126
"360","Habitat Generalist",1996,-352021412.186256,-388456442.605195,-314320685.327934
"358","Habitat Generalist",1997,-359161208.718922,-395542759.70023,-321990146.908686
"356","Habitat Generalist",1998,-366192757.474857,-402961115.46359,-328872221.334295
"367","Habitat Generalist",1999,-373311145.013281,-410561963.831499,-335930021.726917
"378","Habitat Generalist",2000,-379480276.430727,-416718926.389953,-341468368.003387
"384","Habitat Generalist",2001,-384926121.027793,-421680991.64511,-347154781.802242
"379","Habitat Generalist",2002,-389519747.864365,-427450110.459951,-352447784.906235
"339","Habitat Generalist",2003,-394072650.579253,-431589339.267917,-355760303.015578
"342","Habitat Generalist",2004,-397352734.355411,-435096177.255994,-359231497.872558
"353","Habitat Generalist",2005,-400930710.402716,-439005927.408637,-363165851.760027
"364","Habitat Generalist",2006,-404467714.025001,-443565396.483414,-366682255.555947
"348","Habitat Generalist",2007,-407467521.006052,-446875315.865028,-369109528.520333
"359","Habitat Generalist",2008,-410853776.017123,-449798342.364212,-372280717.914455
"357","Habitat Generalist",2009,-414654332.362332,-452920220.866557,-376645541.875323
"368","Habitat Generalist",2010,-417595926.760362,-456785869.676102,-378954903.474451
"375","Habitat Generalist",2011,-420639528.73449,-460293809.976593,-381324826.940219
"382","Habitat Generalist",2012,-422369687.857256,-461794325.930806,-382851114.154287
"380","Habitat Generalist",2013,-423494686.066505,-463497923.661861,-382403296.55623
"372","Habitat Generalist",2014,-423797363.414482,-464386355.612628,-382728299.08002
"370","Habitat Generalist",2015,-422465045.791108,-464050997.653027,-381156971.658041
"377","Habitat Generalist",2016,-421143074.654837,-463850850.768464,-378062416.705527
"383","Habitat Generalist",2017,-419258657.373693,-464183342.249038,-374510839.583914
"389","Introduced",1970,0,0,0
"388","Introduced",1971,-13873591.4384636,-46861328.6332692,19994182.8841378
"391","Introduced",1972,-27263737.3136575,-59975610.8702769,4388816.93003593
"402","Introduced",1973,-41287846.6293206,-73079916.8445081,-10370829.9752592
"390","Introduced",1974,-55217238.3849961,-86480104.2892523,-24556293.0755436
"392","Introduced",1975,-69242284.2642999,-101267656.203009,-38635521.9052051
"395","Introduced",1976,-84180811.5287426,-116401361.423328,-52914244.9230557
"406","Introduced",1977,-100067012.12174,-132535784.71501,-69326190.4744366
"417","Introduced",1978,-114718255.282591,-146754665.538122,-83794554.4649228
"415","Introduced",1979,-128544884.038461,-160071427.143298,-97910536.4154875
"426","Introduced",1980,-141213965.003983,-173717363.107494,-110079941.480367
"387","Introduced",1981,-153624618.658023,-186551835.469311,-122979820.483791
"394","Introduced",1982,-165998209.240307,-199016862.002164,-135439420.38023
"405","Introduced",1983,-178335798.382247,-211123708.177145,-146735047.318438
"403","Introduced",1984,-189889874.068081,-223553843.536256,-159139569.303801
"400","Introduced",1985,-201869899.714529,-235470005.089904,-169991324.995636
"398","Introduced",1986,-213579329.06304,-248224541.817564,-181579802.048911
"396","Introduced",1987,-225058582.674938,-260360547.534793,-192449306.547381
"407","Introduced",1988,-236553946.359936,-270840595.36654,-203581494.254504
"418","Introduced",1989,-247769455.015502,-283556125.651869,-214882509.845094
"429","Introduced",1990,-259085658.611525,-294900867.608485,-224916114.381388
"423","Introduced",1991,-269775035.084805,-305808052.059185,-236161541.240441
"385","Introduced",1992,-280227863.438096,-316896937.717253,-245849240.772149
"386","Introduced",1993,-290151735.713892,-327535024.953079,-254941765.203644
"393","Introduced",1994,-299785260.650623,-337710225.570579,-263727666.220979
"404","Introduced",1995,-308861095.018766,-346924034.655889,-272546667.755082
"401","Introduced",1996,-317183369.336858,-356274499.594807,-280020682.499051
"399","Introduced",1997,-325109782.043129,-364787824.248793,-287404763.511828
"397","Introduced",1998,-332202625.633713,-372543932.134799,-294576657.401317
"408","Introduced",1999,-339056079.090271,-379003835.874358,-300712319.928857
"419","Introduced",2000,-345303786.827642,-385888646.412521,-307019159.376951
"430","Introduced",2001,-351098681.316461,-392497508.383495,-312404810.084876
"424","Introduced",2002,-356919448.252478,-398348096.953047,-317637798.344623
"412","Introduced",2003,-362351028.31281,-404087966.390341,-322794876.611955
"410","Introduced",2004,-367588678.032673,-409721100.608136,-327128137.651792
"421","Introduced",2005,-372336673.875148,-414879030.323836,-331770788.472027
"428","Introduced",2006,-377023207.518438,-420314843.199353,-335814923.524935
"416","Introduced",2007,-381251432.298844,-425814694.694946,-340390739.967385
"414","Introduced",2008,-384982044.199223,-428636598.010137,-342420722.026929
"425","Introduced",2009,-387868419.101271,-431783487.613023,-345562450.933475
"409","Introduced",2010,-390580899.731608,-435059461.08587,-347481035.410895
"420","Introduced",2011,-392526012.642496,-437730834.742032,-348269935.090621
"427","Introduced",2012,-394193954.276917,-440443925.845711,-349441131.408038
"432","Introduced",2013,-394913935.651671,-442097907.521938,-349100406.649032
"413","Introduced",2014,-395384140.390014,-442614386.882994,-347368160.909822
"411","Introduced",2015,-394182687.162274,-443501899.234706,-343462357.857239
"422","Introduced",2016,-392929211.997836,-443586100.486697,-338600730.844717
"431","Introduced",2017,-390874617.036379,-443039810.254426,-332054348.537703
"433","Western Forest",1970,0,0,0
"438","Western Forest",1971,-1516611.73639888,-12588741.7587868,9569885.66612538
"445","Western Forest",1972,-3217695.93852371,-14046449.1948108,7521227.44689262
"443","Western Forest",1973,-5090139.33035702,-15581912.7365554,5410070.80537103
"440","Western Forest",1974,-7349554.17192388,-18329072.8156322,3728266.12660738
"442","Western Forest",1975,-10786628.2398424,-22678329.8467205,1231642.33361928
"436","Western Forest",1976,-15414270.1173125,-28483746.6988261,-2400328.35965925
"447","Western Forest",1977,-20663303.4915623,-34742878.2528305,-6626367.54885505
"458","Western Forest",1978,-26279029.0820765,-40910600.0927069,-11882570.2260415
"469","Western Forest",1979,-31896883.520799,-47041495.9874897,-16688224.4001763
"476","Western Forest",1980,-37184732.5771774,-52618063.3649623,-22401542.8646943
"434","Western Forest",1981,-42313337.5396505,-58242318.0225467,-26954999.7023243
"435","Western Forest",1982,-47002232.7209168,-63216087.1425301,-31775037.880564
"446","Western Forest",1983,-51562344.6473789,-67952535.3262787,-36162943.0613954
"444","Western Forest",1984,-56058614.9844605,-72563631.9165582,-40243684.5692677
"441","Western Forest",1985,-60196379.4172083,-77097161.2251734,-44087560.7629791
"439","Western Forest",1986,-64243060.5874954,-81209373.0165291,-48100276.6973623
"437","Western Forest",1987,-68113269.9354154,-84826491.3239821,-51688364.1950789
"448","Western Forest",1988,-71769296.4881706,-89316459.5136167,-55312686.4387705
"459","Western Forest",1989,-75457888.8949201,-92694907.1936974,-58752036.9992195
"470","Western Forest",1990,-78833046.5096642,-96559018.8742836,-62215815.7107622
"464","Western Forest",1991,-82400953.483209,-100311289.129116,-65447254.5230338
"452","Western Forest",1992,-85574814.710783,-103346663.783294,-68247128.3111691
"463","Western Forest",1993,-88551174.1611096,-106786136.791426,-71469851.2948171
"474","Western Forest",1994,-91624853.5325255,-110023150.448512,-74385707.012756
"477","Western Forest",1995,-94602969.5721255,-113291033.856281,-76879559.603985
"456","Western Forest",1996,-97455962.4662318,-115936657.312937,-79344840.441951
"467","Western Forest",1997,-100249640.708278,-119361802.780745,-81868611.0082197
"478","Western Forest",1998,-103002854.791573,-122439107.86877,-84714798.8957928
"449","Western Forest",1999,-105690533.756284,-124976725.974682,-86743624.6682001
"460","Western Forest",2000,-108164371.809157,-128292070.508465,-89556193.7381428
"471","Western Forest",2001,-110786942.301659,-131201276.474543,-91393468.1121546
"480","Western Forest",2002,-113066020.468135,-133320820.505956,-94011924.7027881
"453","Western Forest",2003,-115486027.708234,-136190676.42522,-95967327.6330419
"451","Western Forest",2004,-117992121.514495,-138717638.248467,-98045592.4176251
"462","Western Forest",2005,-120105213.560217,-141412710.620544,-99836216.3400427
"473","Western Forest",2006,-122524494.084533,-144280332.647141,-101971871.171636
"457","Western Forest",2007,-124647371.40088,-146496074.974195,-103720130.92728
"455","Western Forest",2008,-126532425.020625,-148725200.787818,-105322808.733665
"466","Western Forest",2009,-128546849.362282,-151124292.212615,-107079907.349378
"450","Western Forest",2010,-130110122.672475,-152657300.02408,-108694159.411367
"461","Western Forest",2011,-131779219.549142,-154397956.092223,-109509999.984989
"468","Western Forest",2012,-133319277.30899,-156962329.495089,-110819727.992862
"475","Western Forest",2013,-134818929.320379,-158256287.208222,-112366723.506071
"454","Western Forest",2014,-136120167.488374,-160011713.653791,-113434599.396049
"465","Western Forest",2015,-137378273.925383,-161334213.690648,-114240327.551207
"472","Western Forest",2016,-138625491.190658,-162129259.365791,-114685677.30178
"479","Western Forest",2017,-139506987.566504,-163733247.088108,-115992313.427787
"481","Wetland",1970,0,0,0
"483","Wetland",1971,-653576.423353225,-4456915.57690921,3151346.67116534
"486","Wetland",1972,-1336410.76816571,-4991781.72582915,2318559.56248677
"484","Wetland",1973,-1796097.7467159,-5473522.19772432,1914837.51468892
"485","Wetland",1974,-2100723.4584567,-5978513.54513068,1889728.69955762
"487","Wetland",1975,-2451902.41200808,-6571156.67499147,1714599.14088055
"482","Wetland",1976,-3164620.26497677,-7605133.47131703,1335201.93102185
"488","Wetland",1977,-4151428.23460928,-8897080.30044517,704834.062230263
"499","Wetland",1978,-5401239.42663243,-10569314.1637592,-321696.646470079
"510","Wetland",1979,-7106532.44894359,-12487187.6595435,-1659537.83962575
"521","Wetland",1980,-9135002.22987983,-14881151.6095724,-3648041.18842678
"492","Wetland",1981,-11188800.7961202,-17057375.2629554,-5556074.82285691
"503","Wetland",1982,-13204091.6646456,-19208459.01313,-7434089.34558502
"514","Wetland",1983,-15297674.894703,-21587484.2853691,-9339276.49055304
"525","Wetland",1984,-17319452.0733751,-23885541.5142877,-11054496.2367362
"496","Wetland",1985,-19223163.1171162,-25808815.2343774,-12811097.0705388
"507","Wetland",1986,-20965634.241366,-27584910.8505294,-14531303.9121787
"518","Wetland",1987,-22496071.9045048,-29400329.391189,-15805395.7217714
"489","Wetland",1988,-23683706.9251493,-30564900.6926241,-16757015.0841021
"500","Wetland",1989,-24551245.5899025,-31757695.9971737,-17594239.3658422
"511","Wetland",1990,-24771039.4534245,-32146754.056818,-17575009.0236949
"522","Wetland",1991,-24289949.0613272,-31560237.9160664,-17108783.7357798
"493","Wetland",1992,-23118095.1064803,-30582351.7331632,-15980554.1628525
"504","Wetland",1993,-21025871.4904494,-28586768.9794617,-13914642.3950916
"515","Wetland",1994,-18381294.8901995,-26178121.7210075,-10900406.6514636
"526","Wetland",1995,-15348261.7760404,-23176107.6149415,-7409017.55019104
"497","Wetland",1996,-12246379.5778613,-20590978.8998169,-4033143.34915945
"508","Wetland",1997,-10059960.4082166,-18484908.434114,-1650699.27877653
"519","Wetland",1998,-8923009.48206809,-17385843.3900287,-521474.312459912
"490","Wetland",1999,-9438924.64762935,-18129500.0853587,-802792.410062707
"501","Wetland",2000,-10692728.2676389,-19481210.9955483,-2179743.04325335
"512","Wetland",2001,-12254522.6714318,-20913521.1142327,-3399339.77173249
"523","Wetland",2002,-13555766.8851022,-22459020.2483178,-4665567.69019834
"494","Wetland",2003,-14223948.4444452,-23318476.5272131,-5017442.09989392
"505","Wetland",2004,-13873093.2410442,-22944944.2936326,-4259309.03888964
"516","Wetland",2005,-12343513.1073955,-21657344.8575644,-2500098.49753946
"527","Wetland",2006,-10055086.7325735,-19690553.1296572,55347.0492263595
"498","Wetland",2007,-6553229.39939734,-16267573.2630541,3989447.60802653
"509","Wetland",2008,-2728273.95525748,-12676574.9637029,8278849.54932277
"520","Wetland",2009,1406364.2720592,-9183094.25527217,12790118.6275663
"491","Wetland",2010,5139766.50176406,-5481704.73552422,16747440.9206158
"502","Wetland",2011,8229172.69571388,-2903688.48363285,20604774.361341
"513","Wetland",2012,10622161.7697753,-409394.967666666,23444115.2218666
"524","Wetland",2013,12653136.7334281,1281979.83588448,25935862.8444707
"495","Wetland",2014,14115024.6022367,2943313.68007777,25953093.3507006
"506","Wetland",2015,15907968.8279092,5089124.12294489,28425617.8356747
"517","Wetland",2016,18204795.5508587,6660971.52768958,31421533.535313
"528","Wetland",2017,20736115.0533213,7759721.80404806,36606639.8474885
